ANIO,COMBUSTIBLE,KILOMETROS,MARCA,PRECIO_NORMAL,PUERTAS,REGION,TIPO_AVISO,TIPO_CATEGORIA,TRANSMISION,VERSION,AIRBAG_ACOMP,AIRBAG_CONDUC,AIRBAG_CORTINA,AIRBAG_LAT,AIRBAG_TRAS,ALARMA,CIERRE_AUT_MOV,FRENOS_ABS,ISOFIX,AIRE_ACON,BLUETOOTH,CNTRL_VEL_CRUCERO,GPS,MANOS_LIBRES,RANGO_KM,RANGO_PRECIO,LOG_PRECIO,Label
2014,DIESEL,92000,SSANGYONG,8990000.0,4,V REGION,,CAMIONETA,AUTOMATICA,ACTYON SPORTS,NO,SI,SI,SI,SI,NO,SI,SI,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.011623406447804,9241640.001980443
2015,BENCINA,28000,CHEVROLET,4900000.0,5 o MAS,RM,PARTICULAR,SEDAN,MANUAL,SAIL,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,"(15000, 40000]","(2500000, 5000000]",15.404745763080856,5793810.818171797
2015,DIESEL,74000,NISSAN,8990000.0,4,RM,ASISTIDA,PICK UP,MANUAL,NAVARA,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.011623406447804,9241640.001980443
2013,BENCINA,59000,HONDA,7800000.0,2,RM,PARTICULAR,COUPA,MANUAL,CIVIC,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,"(40000, 60000]","(5000000, 10000000]",15.86963429165982,7531415.236314787
2018,DIESEL,2182,MAHINDRA,10990000.0,2,RM,,PICK UP,MANUAL,PIK-UP,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(1000, 15000]","(10000000, 15000000]",16.212496326379803,11147492.774276178
2011,BENCINA,71500,TOYOTA,9900000.0,3,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,LANDCRUISER PRADO,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.108045315104818,9309667.617617149
2016,BENCINA,71200,MAZDA,10170000.0,4,RM,,SEDAN,AUTOMATICA,6,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.134952768024743,10009196.584210599
2017,BENCINA,24000,SUBARU,14490000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,AUTOMATICA,XV,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,"(15000, 40000]","(10000000, 15000000]",16.488969314296867,14964898.850577628
2018,BENCINA,45000,MITSUBISHI,4680000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,MIRAGE,SI,NO,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(2500000, 5000000]",15.358808667893829,3952143.5583148208
2008,DIESEL,167000,JEEP,7000000.0,5 o MAS,VIII REGION,PARTICULAR,MONOVOLUMEN,AUTOMATICA,GRAND CHEROKEE,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.761420707019587,7531415.236314787
2015,BENCINA,93000,MAZDA,7900000.0,5 o MAS,RM,PARTICULAR,HATCHBACK,MANUAL,3,NO,NO,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.88237331743725,7536823.400307035
2017,BENCINA,79639,KIA,2800000.0,4,RM,,SEDAN,AUTOMATICA,OPTIMA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",14.845129975145433,3738327.9627806228
2010,BENCINA,120000,CHERY,2400000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,FACE,NO,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(0, 2500000]",14.690979295318174,3738327.9627806228
2015,DIESEL,104571,CHEVROLET,11490000.0,4,RM,ASISTIDA,PICK UP,MANUAL,D-MAX,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(10000000, 15000000]",16.25698764982494,11167215.088342968
2014,BENCINA,87000,DODGE,12990000.0,4,RM,,MONOVOLUMEN,AUTOMATICA,DURANGO,NO,NO,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.379690388646782,13207786.239853026
2013,BENCINA,66000,PEUGEOT,6390000.0,5 o MAS,VIII REGION,ASISTIDA,HATCHBACK,MANUAL,308,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.670244826353718,5804043.104150385
2017,BENCINA,46462,HYUNDAI,5500000.0,5 o MAS,RM,ASISTIDA,HATCHBACK,MANUAL,GRAND I10,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.520258650202699,5793810.818171797
2011,BENCINA,63600,PEUGEOT,6200000.0,2,RM,PARTICULAR,CONVERTIBLE,MANUAL,207,NO,NO,SI,SI,SI,NO,NO,SI,SI,NO,NO,NO,SI,NO,"(60000, 100000]","(5000000, 10000000]",15.64005985001532,5793810.818171797
2014,DIESEL,179679,MITSUBISHI,9500000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,MONTERO SPORT,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",16.06680235657077,9241640.001980443
2007,BENCINA,132000,KIA,1850000.0,5 o MAS,RM,PARTICULAR,COUPA,MANUAL,MORNING,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(0, 2500000]",14.430696197054507,3738327.9627806228
2012,BENCINA,64000,HYUNDAI,8000000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,MANUAL,SANTA FE,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(60000, 100000]","(5000000, 10000000]",15.89495209964411,7547440.849876728
2014,BENCINA,55144,NISSAN,8690000.0,5 o MAS,RM,,FAMILIAR,MANUAL,QASHQAI,SI,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",15.977683497241575,9241640.001980443
2011,DIESEL,110000,HYUNDAI,9500000.0,5 o MAS,RM,,MONOVOLUMEN,AUTOMATICA,SANTA FE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,"(100000, 250000]","(5000000, 10000000]",16.06680235657077,9241640.001980443
