ANIO;COLOR;COMBUSTIBLE;COMUNA;CONDICION;KILOMETROS;MARCA;PRECIO_NORMAL;PUERTAS;REGION;TIPO_AVISO;TIPO_CATEGORIA;TIPO_DIRECCION;TIPO_VEHICULO;TRANSMISION;VERSION;VISITAS;AIRBAG_ACOMP;AIRBAG_CONDUC;AIRBAG_CORTINA;AIRBAG_LAT;AIRBAG_TRAS;ALARMA;CIERRE_AUT_MOV;FRENOS_ABS;ISOFIX;AIRE_ACON;BLUETOOTH;CNTRL_VEL_CRUCERO;GPS;MANOS_LIBRES
2012;OTRO;BENCINA;SANTIAGO;USADO;135000;KIA;8000000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;MECANICA;;AUTOMATICA;SORENTO;21;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2016;BLANCO;BENCINA;SANTIAGO;USADO;42000;RENAULT;5500000;4;RM;PARTICULAR;SEDAN;ASISTIDA;;MANUAL;SYMBOL;12;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2011;VERDE;BENCINA;ISLA DE MAIPO;USADO;144000;JEEP;6400000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;COMPASS;13;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2014;BLANCO;BENCINA;CURICO;USADO;24000;CHEVROLET;3800000;4;VII REGION;PARTICULAR;UTILITARIO;HIDRAULICA;;MANUAL;N300 MAX;11;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2008;OTRO;BENCINA;OTRA UBICACION;USADO;155000;HYUNDAI;6000000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;SANTA FE;37;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2011;OTRO;BENCINA;OTRA UBICACION;USADO;152000;TOYOTA;10600000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;4 RUNNER;11;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2014;OTRO;BENCINA;CONCEPCION;USADO;112000;RENAULT;7300000;5 o MAS;VIII REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;AUTOMATICA;KOLEOS;16;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2019;NEGRO;BENCINA;OTRA UBICACION;USADO;350;NISSAN;10900000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;KICKS;11;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2008;OTRO;BENCINA;CHILLAN;USADO;127000;VOLKSWAGEN;3550000;4;VIII REGION;PARTICULAR;SEDAN;ASISTIDA;;MANUAL;BORA;18;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2014;GRIS;BENCINA;SANTIAGO;USADO;65000;VOLKSWAGEN;4100000;5 o MAS;RM;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;GOL;56;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2014;OTRO;BENCINA;OTRA UBICACION;USADO;81000;GREAT WALL;5500000;5 o MAS;X REGION;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;HAVAL H5;34;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;62500;RENAULT;4800000;4;RM;PARTICULAR;SEDAN;ASISTIDA;;MANUAL;SYMBOL;70;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;NO;SI;SI
2015;OTRO;BENCINA;QUILPUE;USADO;68000;KIA;4990000;5 o MAS;V REGION;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;MORNING;17;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI
2016;GRIS;BENCINA;CHIGUAYANTE;USADO;19000;CHEVROLET;5500000;5 o MAS;VIII REGION;PARTICULAR;SEDAN;HIDRAULICA;;MANUAL;SAIL;17;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2012;OTRO;BENCINA;COLINA;USADO;64000;NISSAN;4700000;4;RM;PARTICULAR;SEDAN;HIDRAULICA;;MANUAL;VERSA;18;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2007;OTRO;BENCINA;SAN ROSENDO;USADO;160000;SUBARU;4500000;4;VIII REGION;PARTICULAR;SEDAN;HIDRAULICA;;MANUAL;IMPREZA;17;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI
2013;BLANCO;BENCINA;PUCON;USADO;105000;FORD;5900000;5 o MAS;IX REGION;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;FIESTA;10;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
